"","mean","se_mean","sd","2.5%","97.5%","n_eff","Rhat"
"Sigma[1,1,1]",0.21523004167955,0.0061668672353646,0.140853500873047,0.0047807255,0.534638775,521.682290450192,1.00342768686594
"Sigma[1,1,2]",0.01667867857612,0.00308314658564085,0.0725019437263651,-0.1345628,0.1609362,552.981946565756,1.00474106786284
"Sigma[1,1,3]",0.06734342140805,0.00379737311328058,0.0815706862988513,-0.0762390225,0.254083475,461.425605014931,0.999823698803299
"Sigma[1,1,4]",0.03539740861115,0.00212386089987231,0.0562060177105683,-0.0562369825,0.18002815,700.347354492367,1.00179167202682
"Sigma[1,1,5]",0.0235444542231,0.00448718521497831,0.0942142820475271,-0.167595425,0.21441015,440.844568005192,1.00365532779603
"Sigma[1,2,1]",0.01667867857612,0.00308314658564085,0.0725019437263651,-0.1345628,0.1609362,552.981946565756,1.00474106786284
"Sigma[1,2,2]",0.36278899355,0.00411824798478895,0.138215158990242,0.143980825,0.6813483,1126.38372339957,1.00170303043736
"Sigma[1,2,3]",0.13575880591735,0.00242570541010788,0.0754203150138449,-0.00474095625,0.29275945,966.719703529868,1.00005342374568
"Sigma[1,2,4]",-0.044304611201965,0.00166283980026203,0.0590951329659596,-0.176158425,0.052472315,1262.99783654831,1.00034025100912
"Sigma[1,2,5]",-0.03641014212594,0.00309628752257458,0.0950374232313397,-0.23355985,0.1447363,942.121120782022,1.00029160678164
"Sigma[1,3,1]",0.06734342140805,0.00379737311328058,0.0815706862988513,-0.0762390225,0.254083475,461.425605014931,0.999823698803299
"Sigma[1,3,2]",0.13575880591735,0.00242570541010788,0.0754203150138449,-0.00474095625,0.29275945,966.719703529868,1.00005342374568
"Sigma[1,3,3]",0.4078981563,0.00444286653632601,0.142735987261838,0.1766872,0.72149605,1032.14433218487,0.999438319865701
"Sigma[1,3,4]",0.0481425747566,0.00149342917074323,0.0579735882535254,-0.0579154875,0.171875525,1506.92314508874,0.999779553980993
"Sigma[1,3,5]",0.2885427304725,0.00442632709530603,0.124775400302655,0.0744269525,0.563928875,794.640938554491,0.999545687558088
"Sigma[1,4,1]",0.03539740861115,0.00212386089987231,0.0562060177105683,-0.0562369825,0.18002815,700.347354492367,1.00179167202682
"Sigma[1,4,2]",-0.044304611201965,0.00166283980026203,0.0590951329659596,-0.176158425,0.052472315,1262.99783654831,1.00034025100912
"Sigma[1,4,3]",0.0481425747566,0.00149342917074323,0.0579735882535254,-0.0579154875,0.171875525,1506.92314508874,0.999779553980993
"Sigma[1,4,4]",0.10496263646398,0.00256706970560364,0.0802508754715338,0.00079264975,0.297955125,977.291754671304,0.999645271481641
"Sigma[1,4,5]",0.1026427372444,0.00283788106887364,0.0812573075037433,-0.0237758175,0.294491075,819.853912554007,1.00019392683916
"Sigma[1,5,1]",0.0235444542231,0.00448718521497831,0.0942142820475271,-0.167595425,0.21441015,440.844568005192,1.00365532779603
"Sigma[1,5,2]",-0.03641014212594,0.00309628752257458,0.0950374232313397,-0.23355985,0.1447363,942.121120782022,1.00029160678164
"Sigma[1,5,3]",0.2885427304725,0.00442632709530603,0.124775400302655,0.0744269525,0.563928875,794.640938554491,0.999545687558088
"Sigma[1,5,4]",0.1026427372444,0.00283788106887364,0.0812573075037433,-0.0237758175,0.294491075,819.853912554007,1.00019392683916
"Sigma[1,5,5]",0.568838541,0.00557647772976202,0.198841823833556,0.23871605,1.01695625,1271.43900827762,0.999476010041155
"Sigma[2,1,1]",0.0983461326555,0.00186750806988594,0.0566113144114156,0.00998902425,0.227823175,918.928037905136,0.999528596274302
"Sigma[2,1,2]",0.1126118477667,0.00262919630991291,0.0549272883521776,0.0138805125,0.231602125,436.445771801446,1.00460919829337
"Sigma[2,1,3]",0.01515438113915,0.00379829865475255,0.0452991230326646,-0.0748460825,0.1069281,142.233327187477,1.01324212014852
"Sigma[2,1,4]",0.007317686342885,0.00433757047370487,0.0484182211252525,-0.0827753175,0.101619725,124.601873137849,1.01458083081435
"Sigma[2,1,5]",0.00820503410291,0.00423257529481452,0.0469834607901675,-0.08386364,0.10186955,123.219834727383,1.01459851785467
"Sigma[2,2,1]",0.1126118477667,0.00262919630991291,0.0549272883521776,0.0138805125,0.231602125,436.445771801446,1.00460919829337
"Sigma[2,2,2]",0.449602759,0.00254294356570139,0.101903985587244,0.276701625,0.676814275,1605.86449389102,0.999879777329448
"Sigma[2,2,3]",0.15549268118,0.00212559846897987,0.0606416022135254,0.042963625,0.281839,813.914672078114,1.00452869646152
"Sigma[2,2,4]",0.11371939859,0.00250564418673955,0.0628966284491318,-0.00703409175,0.243112825,630.109363584071,1.00491230301543
"Sigma[2,2,5]",0.075796373421975,0.00190421206358391,0.0586727137857762,-0.042348635,0.196676,949.383605510351,1.00535592417638
"Sigma[2,3,1]",0.01515438113915,0.00379829865475255,0.0452991230326646,-0.0748460825,0.1069281,142.233327187477,1.01324212014852
"Sigma[2,3,2]",0.15549268118,0.00212559846897987,0.0606416022135254,0.042963625,0.281839,813.914672078114,1.00452869646152
"Sigma[2,3,3]",0.360611222,0.00242362018171333,0.0871252633989814,0.213489375,0.554738925,1292.28733377449,1.00042553893009
"Sigma[2,3,4]",0.2735820126,0.00160678182443672,0.0597688452880804,0.168584925,0.397358825,1383.68078543755,1.00013927660715
"Sigma[2,3,5]",0.24583013145,0.00160071003179357,0.0630127125469193,0.132452325,0.37837025,1549.64071090707,1.00238368612685
"Sigma[2,4,1]",0.007317686342885,0.00433757047370487,0.0484182211252525,-0.0827753175,0.101619725,124.601873137849,1.01458083081435
"Sigma[2,4,2]",0.11371939859,0.00250564418673955,0.0628966284491318,-0.00703409175,0.243112825,630.109363584071,1.00491230301543
"Sigma[2,4,3]",0.2735820126,0.00160678182443672,0.0597688452880804,0.168584925,0.397358825,1383.68078543755,1.00013927660715
"Sigma[2,4,4]",0.348327864,0.00266958462874458,0.082256015444981,0.212963525,0.5247117,949.397207762509,1.00058764487407
"Sigma[2,4,5]",0.28681303915,0.00236274275012673,0.0675990988208216,0.1674944,0.4384957,818.557013813961,1.00573007897694
"Sigma[2,5,1]",0.00820503410291,0.00423257529481452,0.0469834607901675,-0.08386364,0.10186955,123.219834727383,1.01459851785467
"Sigma[2,5,2]",0.075796373421975,0.00190421206358391,0.0586727137857762,-0.042348635,0.196676,949.383605510351,1.00535592417638
"Sigma[2,5,3]",0.24583013145,0.00160071003179357,0.0630127125469193,0.132452325,0.37837025,1549.64071090707,1.00238368612685
"Sigma[2,5,4]",0.28681303915,0.00236274275012673,0.0675990988208216,0.1674944,0.4384957,818.557013813961,1.00573007897694
