"","mean","se_mean","sd","2.5%","97.5%","n_eff","Rhat"
"beta[1,1]",-0.56993853465,0.00626656062753661,0.205445916010779,-0.973317075,-0.152969975,1074.82196615044,0.999426077726476
"beta[1,2]",0.1712026392145,0.00582855262507584,0.199914758811677,-0.2161248,0.565380825,1176.43590464121,0.999354954428791
"beta[1,3]",-0.0596063603457,0.00608129355717428,0.201503465920855,-0.43784345,0.347571725,1097.92608807254,0.999073898298698
"beta[1,4]",0.3628022350755,0.00576411915200892,0.194371700552638,-0.0256721475,0.7388134,1137.10395289484,1.0000929891261
"beta[1,5]",0.342775084995,0.00638314451829835,0.21634747291061,-0.07580838,0.784003675,1148.77320972748,0.999317853300424
"beta[2,1]",0.2553744138958,0.00465923896665933,0.151099847882875,-0.0345284525,0.546091125,1051.71503701686,0.999178666753008
"beta[2,2]",-0.32727741603,0.00461000769275286,0.151253160798411,-0.618873125,-0.0293665575,1076.4791385235,0.999443948236364
"beta[2,3]",-0.00044640704,0.00476275462728276,0.148483942400494,-0.29827865,0.295380225,971.946957682569,0.999203633409863
"beta[2,4]",-0.3997277529385,0.00468716321966241,0.146542587091885,-0.695523825,-0.1117496,977.47926727424,0.999700859660729
"beta[2,5]",-0.2117932890089,0.00457265148775121,0.142916245093032,-0.4994063,0.0639437,976.847996654082,0.999115051585881
