"","mean","se_mean","sd","2.5%","97.5%","n_eff","Rhat"
"theta_Sigma[1,1,1]",0.0895646818910349,0.00347474330512551,0.10703470020539,0.000175453,0.300894175,948.863498650541,1.00372292514671
"theta_Sigma[1,1,2]",-0.0195526820820885,0.00212600201624916,0.0798596732120984,-0.1731863,0.0322639925,1411.00227282472,1.00142905839459
"theta_Sigma[1,1,3]",-0.00145375763984975,0.000182574612882771,0.00450691123618047,-0.012611825,0.00536358499999998,609.364616068598,1.00452504785979
"theta_Sigma[1,2,1]",-0.0195526820820885,0.00212600201624916,0.0798596732120984,-0.1731863,0.0322639925,1411.00227282472,1.00142905839459
"theta_Sigma[1,2,2]",0.0748971133080323,0.00636485678971189,0.100033848590166,0.000105955125,0.296457974999999,247.011221068971,1.0197343255047
"theta_Sigma[1,2,3]",-0.00123582151686,0.00014936902969711,0.00406219220220554,-0.0117068425,0.00527747525,739.604962833397,1.00117839435626
"theta_Sigma[1,3,1]",-0.00145375763984975,0.000182574612882771,0.00450691123618047,-0.012611825,0.00536358499999998,609.364616068598,1.00452504785979
"theta_Sigma[1,3,2]",-0.00123582151686,0.00014936902969711,0.00406219220220554,-0.0117068425,0.00527747525,739.604962833397,1.00117839435626
"theta_Sigma[1,3,3]",0.000910720567894195,3.78519480101344e-05,0.000856628510065033,3.36815725e-06,0.00305966175,512.163446025908,1.0033504534255
"theta_Sigma[2,1,1]",0.21153503835882,0.0111419670200169,0.186453801326662,0.000974253375,0.634898124999999,280.039147364934,1.00391132071425
"theta_Sigma[2,1,2]",-0.023767800122655,0.00305659982298226,0.100193313653426,-0.292291,0.0715324275,1074.48489087166,1.00166923487079
"theta_Sigma[2,1,3]",-0.0120118179128678,0.000871271141832259,0.0095454052208563,-0.03096028,0.002128873,120.027864768974,1.00828371378384
"theta_Sigma[2,2,1]",-0.023767800122655,0.00305659982298226,0.100193313653426,-0.292291,0.0715324275,1074.48489087166,1.00166923487079
"theta_Sigma[2,2,2]",0.168242943240959,0.0159327439323114,0.160848634785925,0.000228158625,0.536202625,101.918636684351,1.01041039045079
"theta_Sigma[2,2,3]",-0.0091986666681245,0.000844677815302923,0.00931685164662943,-0.0287122,0.00488375775,121.662345389798,1.00853475919608
"theta_Sigma[2,3,1]",-0.0120118179128678,0.000871271141832259,0.0095454052208563,-0.03096028,0.002128873,120.027864768974,1.00828371378384
"theta_Sigma[2,3,2]",-0.0091986666681245,0.000844677815302923,0.00931685164662943,-0.0287122,0.00488375775,121.662345389798,1.00853475919608
"theta_Sigma[2,3,3]",0.0015062221485,1.79431151042392e-05,0.000505144716071189,0.000684645,0.00261491625,792.566921716961,0.999111880555906
